,Composite,,,Single-Family Detached,,,Single-Family Attached,,,Townhouse,,,Apartment,,
,Index,Benchmark,Yr./Yr. % Chg.,Index,Benchmark,Yr./Yr. % Chg.,Index,Benchmark,Yr./Yr. % Chg.,Index,Benchmark,Yr./Yr. % Chg.,Index,Benchmark,Yr./Yr. % Chg.
TREB Total,181,"$552,400 ",8.90%,184.8,"$687,600 ",10.33%,189.9,"$536,900 ",9.96%,174.7,"$382,100 ",7.71%,161.9,"$325,400 ",4.32%
Halton Region,189.3,"$620,100 ",7.80%,186.5,"$692,100 ",7.80%,190.4,"$494,100 ",8.12%,179.8,"$354,500 ",7.86%,-,-,-
Burlington,192.2,"$576,900 ",7.31%,190.6,"$671,400 ",6.90%,192.7,"$459,300 ",7.47%,184.7,"$366,200 ",7.45%,-,-,-
Halton Hills,173.5,"$505,200 ",8.44%,172.3,"$551,200 ",7.82%,184.2,"$453,700 ",8.10%,169,"$304,700 ",7.78%,-,-,-
Milton,180.4,"$498,200 ",8.22%,169.3,"$587,000 ",9.01%,184.1,"$459,600 ",8.61%,-,-,-,-,-,-
Oakville,197.7,"$729,000 ",6.92%,196.2,"$813,200 ",6.63%,199.9,"$541,200 ",7.42%,182.7,"$403,400 ",7.53%,-,-,-
Peel Region,172.3,"$471,600 ",8.64%,175.3,"$594,100 ",9.70%,177.5,"$452,800 ",10.11%,175.3,"$362,700 ",6.63%,146.8,"$253,000 ",3.02%
Brampton,166.8,"$425,700 ",10.10%,167.3,"$489,300 ",10.28%,169.3,"$398,800 ",10.73%,158.5,"$294,300 ",6.23%,134.8,"$211,000 ",6.06%
Caledon,159,"$567,500 ",6.78%,160.2,"$589,400 ",6.87%,170.8,"$422,300 ",6.29%,-,-,-,-,-,-
Mississauga,177.8,"$497,500 ",7.76%,187.8,"$701,100 ",9.70%,187.9,"$513,300 ",9.95%,180.7,"$388,100 ",6.73%,149.1,"$261,500 ",2.54%
City of Toronto,181.9,"$596,400 ",6.81%,192.4,"$834,200 ",8.52%,197.6,"$656,500 ",7.57%,178.7,"$431,900 ",7.13%,164.8,"$340,500 ",4.30%
! TURN PAGE FOR CITY OF TORONTO TABLES OR CLICK HERE:,,,,,,,,,,,,,,,
York Region,199.3,"$683,900 ",12.85%,200.8,"$789,400 ",13.57%,204.5,"$592,600 ",13.42%,180.6,"$458,900 ",11.28%,163.1,"$353,800 ",4.48%
Aurora,188.3,"$606,100 ",11.75%,188.5,"$700,300 ",12.20%,193.5,"$500,400 ",11.53%,150.9,"$382,200 ",5.23%,159.5,"$329,900 ",7.70%
E. Gwillimbury,165.8,"$537,400 ",5.74%,165.8,"$546,400 ",5.40%,175,"$370,500 ",5.55%,-,-,-,-,-,-
Georgina,168.6,"$349,900 ",9.13%,176,"$362,600 ",10.07%,181.2,"$357,100 ",9.03%,-,-,-,-,-,-
King,172.9,"$733,000 ",5.56%,173.8,"$733,400 ",5.14%,-,-,-,-,-,-,-,-,-
Markham,209.3,"$720,300 ",15.06%,215.7,"$886,700 ",16.41%,213.6,"$636,200 ",16.21%,189.6,"$471,000 ",13.13%,165,"$380,400 ",3.38%
Newmarket,181.2,"$534,400 ",12.41%,179.4,"$603,900 ",12.69%,187.8,"$442,900 ",12.73%,177.2,"$357,800 ",9.32%,162.9,"$274,300 ",8.53%
Richmond Hill,209.5,"$759,700 ",12.76%,222.9,"$947,500 ",13.90%,214.1,"$649,200 ",11.86%,170,"$475,800 ",10.32%,157.5,"$328,100 ",3.35%
Vaughan,195.2,"$705,600 ",11.23%,188.1,"$783,000 ",11.96%,201.5,"$613,100 ",11.70%,190,"$519,100 ",11.11%,166.6,"$369,700 ",6.73%
Whitchurch-Stouffville,198.5,"$748,400 ",16.08%,197.6,"$758,300 ",15.49%,178.7,"$490,800 ",16.64%,-,-,-,-,-,-
Durham Region,165.1,"$388,400 ",12.16%,163.8,"$426,900 ",12.04%,172.8,"$346,200 ",12.94%,151.6,"$248,600 ",10.50%,156,"$280,400 ",11.99%
Ajax,174.7,"$431,700 ",13.96%,173.2,"$463,900 ",13.35%,182.9,"$393,400 ",14.24%,164.8,"$301,200 ",17.30%,148.3,"$251,800 ",9.69%
Brock,135.9,"$256,800 ",3.42%,137.1,"$259,600 ",3.86%,0,$0 ,0.00%,-,-,-,-,-,-
Clarington,159.5,"$337,500 ",10.08%,152.2,"$365,800 ",9.34%,164,"$313,100 ",10.44%,158.8,"$284,300 ",0.38%,155.1,"$219,500 ",11.10%
Oshawa,157.3,"$301,300 ",10.39%,157.4,"$335,300 ",11.16%,166.8,"$279,500 ",12.70%,128.6,"$172,100 ",4.72%,151.6,"$204,600 ",9.30%
Pickering,172.6,"$466,700 ",11.43%,172.9,"$540,300 ",9.85%,179.6,"$418,600 ",12.60%,168,"$301,600 ",14.83%,163.4,"$319,900 ",13.71%
Scugog,156.6,"$406,400 ",8.83%,160.9,"$414,300 ",8.72%,149.8,"$313,500 ",7.00%,-,-,-,-,-,-
Uxbridge,155.6,"$475,800 ",8.58%,156.3,"$484,100 ",8.84%,148.5,"$364,400 ",5.69%,-,-,-,-,-,-
Whitby,168.2,"$438,900 ",15.36%,169.5,"$486,900 ",16.10%,172.4,"$379,800 ",14.02%,153.9,"$282,200 ",11.68%,152.1,"$296,700 ",11.76%
Dufferin County,161.9,"$371,100 ",6.37%,168.4,"$383,700 ",7.40%,159.5,"$299,000 ",6.48%,-,-,-,-,-,-
Orangeville,161.9,"$371,100 ",6.37%,168.4,"$383,700 ",7.40%,159.5,"$299,000 ",6.48%,-,-,-,-,-,-
Simcoe County,160.2,"$341,500 ",8.17%,155.2,"$343,900 ",7.93%,167,"$320,500 ",7.46%,-,-,-,-,-,-
Adjala-Tosorontio,139.3,"$494,300 ",8.57%,139.3,"$494,300 ",8.57%,-,-,-,-,-,-,-,-,-
Bradford West Gwillimbury,175,"$434,900 ",5.74%,157.8,"$483,400 ",4.92%,178.5,"$371,100 ",4.82%,-,-,-,-,-,-
Essa,158.1,"$370,300 ",8.21%,156.9,"$396,700 ",8.88%,159.3,"$271,400 ",7.64%,-,-,-,-,-,-
Innisfil,158.1,"$292,400 ",9.03%,158,"$292,800 ",8.67%,174.1,"$270,800 ",11.03%,-,-,-,-,-,-
New Tecumseth,147.8,"$341,400 ",8.04%,144.4,"$371,900 ",8.08%,153.5,"$293,100 ",7.34%,-,-,-,-,-,-
